time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-03-10T09:29:38.759Z,39.5199,-119.9197,3.1,0.1,ml,5,139.6,0.094,0.139,nn,nn00432530,2018-07-24T21:29:08.902Z,"Nevada",earthquake,,19.3,0.29,3,reviewed,nn,nn
2008-03-10T09:53:40.665Z,39.5147,-119.9281,5.9,0.4,ml,18,41.01,0.071,0.1201,nn,nn00238460,2017-06-19T19:04:55.863Z,"Nevada",earthquake,,1.9,0.42,5,reviewed,nn,nn
2008-03-10T15:59:29.065Z,39.5246,-119.931,5.4,0.5,ml,12,55,0.075,0.1351,nn,nn00475760,2018-07-24T21:29:09.221Z,"Nevada",earthquake,,3.5,0.31,3,reviewed,nn,nn
2008-03-11T13:08:32.383Z,39.5263,-119.9355,0.9,1.8,ml,27,29.89,0.028,0.1146,nn,nn00237861,2018-07-24T21:29:11.859Z,"Nevada",earthquake,,3.1,0.16,5,reviewed,nn,nn
2008-03-11T13:10:22.905Z,39.5225,-119.9306,5.9,0.6,ml,18,54.84,0.074,0.1328,nn,nn00475920,2018-07-24T21:29:12.038Z,"Nevada",earthquake,,2.6,0.57,6,reviewed,nn,nn
2008-03-11T21:34:59.796Z,39.5249,-119.9315,5.8,0.7,ml,10,82.09,0.086,0.1446,nn,nn00464491,2018-07-24T21:29:12.214Z,"Nevada",earthquake,,3.6,0.16,3,reviewed,nn,nn
2008-03-12T08:59:51.556Z,39.5165,-119.9319,6.4,0,ml,8,60.67,0.074,0.1314,nn,nn00480545,2018-07-24T21:29:14.746Z,"Nevada",earthquake,,4.3,0.71,3,reviewed,nn,nn
2008-03-12T11:55:01.028Z,39.5254,-119.9306,6.1,0.5,ml,11,55.09,0.074,0.0981,nn,nn00480645,2018-07-24T21:29:14.937Z,"Nevada",earthquake,,2.8,0.12,3,reviewed,nn,nn
2008-03-12T20:50:57.426Z,39.5285,-119.931,4.9,0.5,ml,11,93.94,0.076,0.1414,nn,nn00481797,2018-07-24T21:29:15.174Z,"Nevada",earthquake,,3.7,0.04,4,reviewed,nn,nn
2008-03-12T21:07:35.855Z,39.5243,-119.9354,3.4,0.6,ml,9,81.36,0.086,0.1534,nn,nn00481798,2018-07-24T21:29:15.271Z,"Nevada",earthquake,,9.4,0.3,5,reviewed,nn,nn
2008-03-12T21:36:43.042Z,39.5249,-119.9393,5.1,0.5,ml,8,80.63,0.084,0.1094,nn,nn00481803,2018-07-24T21:29:15.461Z,"Nevada",earthquake,,5.2,0.34,4,reviewed,nn,nn
2008-03-12T21:42:34.996Z,39.5257,-119.9421,6.2,0.5,ml,10,54.4,0.083,0.1397,nn,nn00481807,2018-07-24T21:29:15.363Z,"Nevada",earthquake,,2.7,0.16,3,reviewed,nn,nn
2008-03-13T03:00:50.471Z,39.5182,-119.9322,4.9,0.4,ml,10,54.37,0.074,0.1176,nn,nn00481865,2018-07-24T21:29:19.260Z,"Nevada",earthquake,,5.5,0.45,5,reviewed,nn,nn
2008-03-13T04:06:01.556Z,39.5255,-119.933,5.9,0.9,ml,26,40.37,0.076,0.1381,nn,nn00238090,2018-07-24T21:29:19.381Z,"Nevada",earthquake,,1.1,0.33,8,reviewed,nn,nn
