YYYY,MM,DD,hh,mm,ss.ss,Lat(deg),Long(deg),depth(km)
2014,02,04,11,46,14.44,37.629789,-119.024040,4.903
2014,02,04,11,51,50.23,37.626860,-119.021452,5.045
2014,02,04,12,00,33.44,37.631156,-119.024430,4.729
2014,02,04,12,09,48.35,37.630648,-119.020288,4.871
2014,02,04,12,15,31.60,37.632906,-119.022941,4.764
2014,02,04,12,18,40.03,37.630546,-119.024365,4.764
2014,02,04,12,18,49.70,37.630668,-119.024438,4.741
2014,02,04,12,25,31.16,37.633049,-119.022257,4.811
2014,02,04,12,31,40.98,37.630383,-119.022461,4.983
2014,02,04,12,45,26.01,37.630754,-119.023226,4.970
2014,02,04,12,46,00.33,37.631217,-119.024129,4.695
2014,02,04,12,46,24.28,37.631266,-119.023169,4.863
2014,02,04,12,46,38.66,37.632251,-119.023039,4.686
2014,02,04,12,49,30.10,37.631710,-119.022607,4.801
2014,02,04,12,52,27.22,37.629598,-119.023910,4.924
2014,02,04,12,56,25.71,37.631921,-119.021688,4.941
2014,02,04,12,59,30.19,37.631482,-119.023234,4.829
2014,02,04,13,07,51.36,37.634111,-119.021753,4.674
2014,02,04,13,08,15.42,37.631340,-119.023633,4.740
2014,02,04,13,25,49.33,37.630912,-119.022266,4.885
2014,02,04,13,44,39.39,37.631217,-119.023332,4.837
2014,02,04,13,50,49.35,37.632487,-119.023112,4.846
2014,02,04,13,51,14.72,37.632593,-119.023120,4.845
2014,02,04,13,51,24.20,37.632544,-119.023535,4.883
2014,02,04,13,55,44.47,37.632703,-119.022982,4.889
2014,02,04,13,57,06.89,37.630575,-119.022534,4.898
2014,02,04,14,01,53.53,37.630440,-119.022949,4.854
2014,02,04,14,03,45.43,37.631295,-119.021460,4.876
2014,02,04,14,14,43.39,37.630334,-119.022339,4.968
2014,02,04,14,29,28.36,37.627755,-119.021257,5.132
2014,02,04,14,32,55.21,37.633000,-119.022550,4.762
2014,02,04,14,33,30.42,37.631824,-119.022461,4.710
2014,02,04,14,40,03.11,37.632410,-119.019840,4.930
2014,02,04,14,40,39.39,37.627657,-119.023429,5.160
2014,02,04,15,01,41.20,37.631197,-119.023364,4.782
2014,02,04,15,02,28.29,37.630570,-119.020866,4.904
2014,02,04,15,12,51.53,37.630664,-119.022331,4.861
2014,02,04,15,25,46.33,37.630457,-119.022412,4.881
2014,02,04,15,26,27.35,37.630579,-119.022314,4.869
2014,02,04,15,30,41.58,37.630986,-119.020605,4.866
2014,02,04,16,10,06.11,37.632365,-119.021956,4.847
2014,02,04,17,03,40.24,37.626550,-119.021647,4.944
2014,02,04,17,10,34.48,37.628324,-119.020573,4.990
2014,02,04,17,13,08.00,37.630396,-119.021370,4.945
2014,02,04,17,59,35.48,37.630538,-119.022257,4.906
2014,02,04,18,03,29.40,37.627751,-119.021134,5.041
2014,02,04,18,05,34.44,37.630265,-119.022030,4.987
2014,02,04,18,28,32.40,37.631852,-119.021883,4.894
2014,02,04,18,46,29.36,37.630969,-119.021037,4.869
2014,02,04,18,57,35.36,37.628589,-119.020532,4.914
2014,02,04,18,57,59.48,37.628625,-119.020622,4.905
2014,02,04,18,58,28.46,37.629272,-119.020524,4.938
2014,02,04,19,07,26.28,37.632227,-119.021541,4.880
2014,02,04,19,09,45.32,37.633297,-119.021875,4.824
2014,02,04,19,50,40.30,37.626693,-119.020549,5.079
2014,02,04,19,57,48.28,37.632601,-119.021753,4.862
2014,02,04,20,11,15.28,37.630855,-119.022241,4.908
2014,02,04,20,15,54.26,37.630660,-119.022339,4.906
2014,02,04,20,18,59.28,37.630611,-119.022550,4.854
